"","respondent","selected","distance","community","affordable","height","site","units","tenant","own","city_interest","prop_i_ban_dummy","supply_dummy"
"1","R_3IbILL3uQjhGMfK",0,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","3 stories","Historically-designated building","24 units","Rent",0,NA,1,NA
"2","R_3IbILL3uQjhGMfK",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","6 stories","Empty building","24 units","Rent",0,NA,1,NA
"3","R_3IbILL3uQjhGMfK",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Empty building","12 units","Own",0,NA,1,NA
"4","R_3IbILL3uQjhGMfK",0,"1 mile (20 minute walk)","No opinion","All of the units","2 stories","Historically-designated building","12 units","Rent",0,NA,1,NA
"5","R_3IbILL3uQjhGMfK",1,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","2 stories","Empty building","12 units","Own",0,NA,1,NA
"6","R_3IbILL3uQjhGMfK",0,"2 miles (40 minute walk)","Support the building","Half of the units","2 stories","Open field","96 units","Own",0,NA,1,NA
"7","R_3IbILL3uQjhGMfK",0,"2 miles (40 minute walk)","Support the building","None of the units","3 stories","Parking lot","12 units","Rent",0,NA,1,NA
"8","R_3IbILL3uQjhGMfK",1,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Open field","96 units","Rent",0,NA,1,NA
"9","R_ZBK1f44oqwAaYJb",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","12 stories","Historically-designated building","48 units","Own",1,-0.15,NA,1
"10","R_ZBK1f44oqwAaYJb",0,"2 miles (40 minute walk)","Oppose the building","None of the units","3 stories","Parking lot","96 units","Rent",1,-0.15,NA,1
"11","R_ZBK1f44oqwAaYJb",1,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","6 stories","Parking lot","48 units","Own",1,-0.15,NA,1
"12","R_ZBK1f44oqwAaYJb",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Parking lot","12 units","Own",1,-0.15,NA,1
"13","R_3CPovIv2Ub28UnM",0,"1/8 mile (2 minute walk)","Support the building","One-quarter of the units","3 stories","Open field","48 units","Own",0,-0.15,0,0
"14","R_3CPovIv2Ub28UnM",1,"1/8 mile (2 minute walk)","Support the building","None of the units","12 stories","Empty building","24 units","Rent",0,-0.15,0,0
"15","R_3CPovIv2Ub28UnM",1,"2 miles (40 minute walk)","Support the building","All of the units","6 stories","Parking lot","48 units","Rent",0,-0.15,0,0
"16","R_3CPovIv2Ub28UnM",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","2 stories","Open field","12 units","Rent",0,-0.15,0,0
"17","R_3CPovIv2Ub28UnM",1,"2 miles (40 minute walk)","No opinion","One-quarter of the units","3 stories","Open field","12 units","Rent",0,-0.15,0,0
"18","R_3CPovIv2Ub28UnM",0,"1 mile (20 minute walk)","Oppose the building","None of the units","12 stories","Historically-designated building","12 units","Own",0,-0.15,0,0
"19","R_3CPovIv2Ub28UnM",1,"1/2 mile (10 minute walk)","Support the building","None of the units","6 stories","Parking lot","24 units","Own",0,-0.15,0,0
"20","R_3CPovIv2Ub28UnM",0,"1 mile (20 minute walk)","Oppose the building","All of the units","3 stories","Open field","48 units","Own",0,-0.15,0,0
"21","R_3CPovIv2Ub28UnM",1,"1 mile (20 minute walk)","Oppose the building","Half of the units","6 stories","Parking lot","96 units","Own",0,-0.15,0,0
"22","R_3CPovIv2Ub28UnM",0,"2 miles (40 minute walk)","No opinion","None of the units","2 stories","Historically-designated building","12 units","Own",0,-0.15,0,0
"23","R_2dFmL594d8sOYVd",0,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.15,1,0
"24","R_2dFmL594d8sOYVd",0,"1 mile (20 minute walk)","Oppose the building","None of the units","3 stories","Open field","48 units","Rent",0,-0.15,1,0
"25","R_2dFmL594d8sOYVd",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","12 stories","Parking lot","96 units","Rent",0,-0.15,1,0
"26","R_2dFmL594d8sOYVd",0,"1 mile (20 minute walk)","No opinion","None of the units","6 stories","Open field","24 units","Own",0,-0.15,1,0
"27","R_2dFmL594d8sOYVd",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","2 stories","Parking lot","24 units","Own",0,-0.15,1,0
"28","R_2dFmL594d8sOYVd",0,"2 miles (40 minute walk)","No opinion","None of the units","6 stories","Empty building","12 units","Rent",0,-0.15,1,0
"29","R_2dFmL594d8sOYVd",1,"2 miles (40 minute walk)","Support the building","All of the units","3 stories","Empty building","48 units","Rent",0,-0.15,1,0
"30","R_2dFmL594d8sOYVd",0,"2 miles (40 minute walk)","Support the building","Half of the units","6 stories","Parking lot","12 units","Rent",0,-0.15,1,0
"31","R_2dFmL594d8sOYVd",1,"1/8 mile (2 minute walk)","No opinion","Half of the units","6 stories","Empty building","48 units","Rent",0,-0.15,1,0
"32","R_2dFmL594d8sOYVd",1,"1 mile (20 minute walk)","Oppose the building","All of the units","6 stories","Empty building","96 units","Rent",0,-0.15,1,0
"33","R_3FKiFucAE5tTEkW",0,"1 mile (20 minute walk)","No opinion","One-quarter of the units","12 stories","Open field","24 units","Rent",0,-0.05,NA,NA
"34","R_3FKiFucAE5tTEkW",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","3 stories","Open field","96 units","Rent",0,-0.05,NA,NA
"35","R_3FKiFucAE5tTEkW",1,"1/8 mile (2 minute walk)","Support the building","None of the units","3 stories","Parking lot","12 units","Rent",0,-0.05,NA,NA
"36","R_3FKiFucAE5tTEkW",1,"2 miles (40 minute walk)","Support the building","Half of the units","6 stories","Open field","12 units","Own",0,-0.05,NA,NA
"37","R_3FKiFucAE5tTEkW",0,"2 miles (40 minute walk)","No opinion","All of the units","2 stories","Historically-designated building","48 units","Own",0,-0.05,NA,NA
"38","R_3FKiFucAE5tTEkW",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","2 stories","Empty building","96 units","Own",0,-0.05,NA,NA
"39","R_3FKiFucAE5tTEkW",0,"1 mile (20 minute walk)","Support the building","Half of the units","3 stories","Parking lot","24 units","Rent",0,-0.05,NA,NA
