"","ownership_dummy","version","prop_a_dummy","prop_d_dummy","prop_f_dummy","prop_i_dummy","ten_plan_dummy","prop_i_ban_dummy","ideology_num","income_num","white_dummy","age","gender_dummy"
"1",1,1,1,1,1,1,1,1,3,NA,0,NA,NA
"2",1,1,1,1,1,1,1,1,6,4,1,54,0
"3",1,2,NA,NA,NA,NA,1,NA,6,NA,1,64,1
"4",1,3,0,1,0,1,0,1,NA,NA,0,NA,NA
"5",1,3,0,0,1,0,0,0,5,5,1,65,1
"6",1,4,1,NA,1,0,0,1,3,5,0,NA,NA
"7",1,4,0,0,1,1,0,1,4,5,1,40,0
"8",1,5,1,1,0,0,1,0,1,6,0,26,1
"9",1,5,1,1,1,1,1,1,5,4,1,64,0
"10",1,6,0,0,1,1,0,1,5,5,1,56,0
"11",1,6,1,1,0,0,1,1,4,3,1,63,0
"12",1,1,0,0,1,1,1,1,6,4,1,61,0
"13",1,1,1,0,1,1,1,1,6,6,1,36,0
"14",1,1,1,1,NA,0,1,0,6,5,1,41,NA
"15",1,1,0,0,0,1,NA,1,6,5,1,46,1
"16",1,1,0,1,0,0,0,0,4,5,1,41,0
"17",1,2,1,0,0,0,0,0,4,4,1,61,0
"18",1,2,0,0,0,0,0,0,4,6,1,41,0
"19",1,2,0,0,0,1,1,1,6,6,1,41,1
"20",1,2,1,1,0,0,1,0,5,6,0,38,1
"21",1,2,1,1,0,0,1,0,5,6,0,39,1
"22",1,3,1,1,1,1,0,1,6,5,1,32,1
"23",1,3,0,0,0,0,NA,1,4,5,1,39,0
"24",1,3,0,0,0,0,0,0,4,4,0,40,1
"25",1,3,0,0,1,1,NA,NA,4,5,0,NA,1
"26",1,3,1,1,0,0,NA,0,6,5,1,55,1
"27",1,4,1,1,0,0,NA,0,6,4,0,38,1
"28",1,4,0,1,1,0,0,0,4,3,1,46,1
"29",1,4,1,1,0,0,0,0,6,5,1,39,0
"30",1,4,1,1,1,0,NA,0,6,6,1,40,1
"31",1,4,NA,NA,NA,NA,NA,NA,6,6,1,42,1
"32",1,5,1,1,0,0,1,1,6,5,1,55,0
"33",1,5,NA,NA,NA,NA,NA,NA,7,2,1,72,0
"34",1,5,1,1,1,1,NA,1,6,3,1,23,0
"35",1,6,1,1,1,0,1,0,4,5,1,60,1
"36",1,6,1,0,1,1,NA,1,7,1,0,24,1
"37",1,6,1,1,0,0,1,0,6,6,1,44,1
"38",1,6,1,1,0,0,1,0,6,5,1,46,0
"39",1,4,1,1,1,1,0,1,4,3,0,76,1
"40",1,5,NA,NA,NA,NA,NA,NA,4,4,1,NA,1
"41",1,1,1,1,0,0,NA,0,4,5,1,23,0
"42",1,1,1,0,1,0,NA,NA,5,5,1,71,0
"43",1,2,1,1,NA,0,1,0,5,2,1,53,0
"44",1,2,1,0,1,0,NA,NA,6,4,1,71,1
"45",1,3,1,1,1,1,0,0,5,6,1,74,1
"46",1,3,1,1,1,0,NA,0,5,5,1,48,1
"47",1,3,1,1,1,1,0,1,6,1,0,39,0
"48",1,3,0,0,1,1,NA,1,6,6,1,44,0
"49",1,3,1,0,1,1,0,1,7,5,1,55,0
"50",1,4,1,1,0,0,0,1,6,1,0,33,1
"51",1,4,1,0,1,1,0,1,7,5,1,45,1
"52",1,5,NA,1,1,0,NA,0,5,5,1,NA,1
"53",1,5,0,0,1,0,1,0,5,6,1,60,1
"54",1,6,1,1,1,0,NA,0,4.5,5,1,67,0
"55",1,6,0,1,1,0,NA,0,4,4,1,82,1
"56",1,6,0,0,1,0,NA,0,5,6,1,46,1
"57",1,1,0,0,1,0,0,0,4,6,1,NA,1
"58",1,1,1,0,1,1,1,1,NA,NA,0,NA,NA
