"","own","supply_dummy","city_supply","ideology","income","whitenh","age","male","name","zri_city","zri","ban_dummy","neighborhood_ban"
"1",1,0,3,3,80000,1,69,0,"Agawam Town, Massachusetts",1512,1513,0,2
"2",1,1,6,3,137500,1,39,1,"Belchertown, Massachusetts",NA,NA,0,3
"3",0,1,6,5,3500,0,21,0,"Chicopee, Massachusetts",1379,1366,0,3
"4",1,NA,4,5,137500,1,29,1,"East Longmeadow, Massachusetts",1814,1822,0,3
"5",1,NA,4,3,55000,1,59,1,"East Longmeadow, Massachusetts",1814,1822,NA,4
"6",1,0,3,3,112500,1,49,0,"Agawam Town, Massachusetts",1512,1618,0,3
"7",0,NA,4,4,37500,1,69,1,"Holyoke, Massachusetts",1385,1383,NA,4
"8",1,0,1,7,67500,1,39,1,"Ludlow, Massachusetts",1520,1520,1,7
"9",1,NA,4,3,67500,1,49,1,"Ludlow, Massachusetts",1520,1520,NA,4
"10",0,NA,4,4,11250,1,49,0,"Northampton, Massachusetts",1865,1865,0,2
"11",1,0,1,4,137500,1,59,0,"Northampton, Massachusetts",1865,1865,0,2
"12",0,1,5,6,17500,0,59,1,"Northampton, Massachusetts",1865,1869,0,3
"13",1,0,3,6,45000,1,29,0,"Northampton, Massachusetts",1865,1869,1,5
"14",1,0,2,3,67500,1,69,1,"Northampton, Massachusetts",1865,1869,0,1
"15",1,0,1,5,2e+05,0,49,1,"Northampton, Massachusetts",1865,1869,1,6
"16",0,0,3,6,17500,1,39,0,"Palmer Town, Massachusetts",1381,1374,1,5
"17",1,NA,4,4,67500,1,29,0,"West Springfield Town, Massachusetts",1538,1538,NA,4
"18",1,NA,4,5,137500,1,49,1,"Worthington, Massachusetts",1885,1885,0,2
"19",0,NA,4,4,11250,1,49,0,"Springfield, Massachusetts",NA,NA,NA,4
"20",0,1,5,4,3500,0,39,0,"Springfield, Massachusetts",NA,NA,0,3
"21",0,0,3,1,13750,0,21,0,"Springfield, Massachusetts",1416,1123,0,2
"22",0,NA,4,4,55000,1,29,0,"Springfield, Massachusetts",1416,1382,NA,4
"23",1,0,1,4,137500,0,29,1,"Springfield, Massachusetts",1416,1382,1,7
"24",0,NA,4,6,162500,0,79,0,"Springfield, Massachusetts",NA,NA,NA,4
"25",1,NA,4,2,32500,0,29,0,"Springfield, Massachusetts",1416,1464,1,5
"26",1,NA,4,1,55000,1,69,0,"Springfield, Massachusetts",1416,1464,NA,4
"27",1,0,2,4,92500,1,29,0,"Cheshire, Massachusetts",NA,NA,0,2
"28",1,NA,4,3,80000,1,59,0,"Stockbridge, Massachusetts",NA,NA,0,3
"29",1,0,1,4,80000,1,69,0,"Montague, Massachusetts",1607,1606,1,7
