"","own","prop_a_dummy","prop_d_dummy","prop_f_dummy","prop_i_dummy","prop_i_ban_dummy","supply_dummy","rent_control","income_cat","ideology","whitenh"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"3",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"6",NA,1,NA,1,0,1,NA,NA,NA,NA,NA
"7",NA,0,0,1,0,NA,NA,NA,NA,NA,NA
"8",1,0,0,1,0,0,0,0,5,5,1
"9",1,1,1,1,1,1,NA,0,4,6,1
"10",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"11",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"12",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"13",NA,0,1,0,1,0,NA,NA,NA,NA,NA
"14",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"15",NA,0,1,0,1,1,NA,NA,NA,NA,NA
"16",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"17",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"18",0,1,1,1,0,0,1,0,6,6,1
"19",NA,0,0,0,1,1,NA,NA,NA,NA,NA
"20",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"21",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"22",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"23",NA,1,0,0,1,0,NA,NA,NA,NA,NA
"24",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"25",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"26",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"27",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"28",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"29",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"30",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"31",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"32",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"33",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"34",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"35",0,1,1,1,0,0,1,0,5,6,1
"36",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"37",NA,1,0,0,1,NA,NA,NA,NA,NA,NA
"38",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"39",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"40",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"41",0,1,1,0,0,0,1,0,NA,4,1
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"44",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"45",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"46",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"47",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"48",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"49",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"50",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"51",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"52",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"53",NA,0,0,1,1,NA,NA,NA,NA,NA,NA
"54",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"55",NA,1,1,NA,0,0,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"58",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"59",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"60",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"61",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"62",NA,0,0,0,0,1,NA,NA,NA,NA,NA
"63",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"64",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"65",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA
"66",NA,1,NA,0,0,NA,NA,0,NA,NA,0
"67",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"68",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"69",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"70",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"71",NA,0,0,0,1,1,NA,NA,NA,NA,NA
"72",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"73",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"74",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"75",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"76",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"77",NA,0,1,1,0,0,NA,NA,NA,NA,NA
"78",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"79",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"80",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"81",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"82",0,1,1,0,1,0,1,0,NA,7,0
"83",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"84",0,1,0,1,1,1,NA,0,NA,NA,0
"85",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"86",NA,NA,1,NA,1,1,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA
"89",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"90",NA,0,1,1,0,0,NA,NA,NA,NA,NA
"91",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"92",NA,0,0,1,0,0,NA,NA,NA,NA,NA
"93",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"94",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"95",0,1,1,1,1,NA,1,1,NA,6,1
"96",NA,1,1,NA,0,0,NA,NA,NA,NA,NA
"97",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"98",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"99",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"100",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"101",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"102",NA,NA,0,1,1,NA,NA,NA,NA,NA,NA
"103",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"104",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"105",NA,1,1,0,NA,NA,NA,NA,NA,NA,NA
"106",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"107",NA,1,1,1,1,0,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"110",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"111",NA,0,1,0,1,NA,NA,NA,NA,NA,NA
"112",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"113",NA,0,0,1,0,0,NA,NA,NA,NA,NA
"114",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"115",NA,1,0,1,0,NA,NA,NA,NA,NA,NA
"116",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"117",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"118",NA,1,0,1,0,NA,NA,NA,NA,NA,NA
"119",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"120",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"121",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"122",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"123",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"124",NA,NA,1,1,0,0,NA,NA,NA,NA,NA
"125",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"126",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"127",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"128",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"129",NA,1,1,0,1,NA,NA,NA,NA,NA,NA
"130",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"131",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"132",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"133",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"134",NA,1,1,0,NA,NA,NA,NA,NA,NA,NA
"135",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"136",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"137",NA,1,0,1,0,NA,NA,NA,NA,NA,NA
"138",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"139",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"140",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"141",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"142",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"143",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"144",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"145",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"146",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"147",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"148",NA,1,1,0,1,NA,NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"151",NA,0,0,1,0,0,NA,NA,NA,NA,NA
"152",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"153",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"154",NA,1,0,1,1,0,NA,NA,NA,NA,NA
"155",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"156",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"157",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"158",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"159",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"160",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"161",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"162",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"163",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"164",NA,0,0,1,0,0,NA,NA,NA,NA,NA
"165",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"166",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"167",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"168",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"169",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"170",0,1,1,1,1,1,NA,0,4,7,0
"171",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"172",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"173",NA,0,1,0,0,1,NA,NA,NA,NA,NA
"174",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"175",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"176",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"177",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"178",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"179",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"180",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"181",NA,0,0,0,1,1,NA,NA,NA,NA,NA
"182",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"183",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"184",NA,0,1,0,1,0,NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"187",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"188",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"189",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"190",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"191",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"192",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"193",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"194",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"195",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"196",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"197",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"198",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"199",NA,1,0,0,0,NA,NA,NA,NA,NA,NA
"200",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"201",NA,1,0,1,0,1,NA,NA,NA,NA,NA
"202",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"203",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"204",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"205",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"206",NA,1,1,1,1,0,NA,NA,NA,NA,NA
"207",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",0,1,1,0,0,0,1,1,6,6,1
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"212",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"213",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"214",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"215",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"216",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"217",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"218",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"219",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"220",NA,NA,1,0,0,0,NA,NA,NA,NA,NA
"221",NA,1,0,1,0,1,NA,NA,NA,NA,NA
"222",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"223",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"224",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"225",0,1,1,1,1,1,1,1,NA,7,1
"226",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"227",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"228",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"229",0,1,1,0,0,0,1,1,NA,6,1
"230",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"231",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"232",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"233",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"234",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"235",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"236",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"237",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"238",0,1,1,1,0,0,1,1,5,6,0
"239",NA,0,0,1,0,0,NA,NA,NA,NA,NA
"240",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"241",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"242",1,0,1,0,0,0,1,0,5,3,1
"243",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"244",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"245",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"246",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"247",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"248",1,1,1,1,1,0,1,0,6,6,1
"249",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"250",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"251",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"252",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"253",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"254",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"255",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"256",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"257",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"258",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"259",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"260",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"261",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"262",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"263",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"264",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"265",NA,1,0,0,0,1,NA,NA,NA,NA,NA
"266",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"267",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"268",NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
"269",NA,0,1,NA,0,1,NA,NA,NA,NA,NA
"270",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"271",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"272",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"273",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"274",NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
"275",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"276",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"277",NA,1,NA,1,1,1,NA,NA,NA,NA,NA
"278",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"279",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"280",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"281",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"282",0,1,1,1,1,1,NA,1,1,6,0
"283",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"284",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"285",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"286",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"287",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"288",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"289",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"290",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"291",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"292",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"293",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"294",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"295",NA,0,NA,1,1,0,NA,NA,NA,NA,NA
"296",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"297",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"298",NA,1,1,0,1,NA,NA,NA,NA,NA,NA
"299",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"301",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"303",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"304",0,1,1,0,1,1,0,1,1,4,0
"305",0,1,1,1,1,NA,NA,1,2,7,1
"306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
"308",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"309",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"310",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"311",0,1,0,0,1,1,NA,1,5,6,0
"312",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"313",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"314",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"315",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"316",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"317",0,1,1,0,1,0,1,1,NA,7,0
"318",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"319",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"320",NA,0,1,1,0,0,NA,NA,NA,NA,NA
"321",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"322",0,1,0,1,1,1,NA,0,NA,NA,0
"323",1,1,1,0,1,NA,1,0,4,7,1
"324",0,0,0,1,1,1,0,0,2,6,1
"325",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"326",NA,1,1,1,1,0,NA,NA,NA,NA,NA
"327",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"328",NA,1,1,NA,0,NA,NA,NA,NA,NA,NA
"329",NA,1,0,1,0,1,NA,NA,NA,NA,NA
"330",0,1,1,0,1,1,1,0,NA,7,1
"331",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"332",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"333",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"334",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"335",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"336",0,1,1,1,1,1,0,1,NA,7,1
"337",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"338",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"339",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"340",NA,1,NA,0,0,1,NA,NA,NA,NA,NA
"341",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"342",0,1,1,1,1,NA,1,1,6,7,0
"343",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"344",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"345",NA,1,1,1,0,1,NA,NA,NA,NA,NA
"346",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"347",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"350",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"351",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"352",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"353",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"354",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"355",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"356",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"357",0,1,1,1,1,1,0,1,NA,7,0
"358",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"359",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"360",NA,1,1,1,1,1,NA,NA,NA,NA,NA
